gx,gy,gz,avgx,avgy,avgz,minx,maxx,miny,maxy,minz,maxz,,,,,,,,,,
0.131783,0.425258,-0.917475,0.014033,0.740524,-0.01128,-0.086858,0.131783,0.425258,0.966307,-0.93066,-0.628884,,,,,,,,,,
0.067692,0.37838,-0.960081,0.021413,0.72198,-0.040591,-0.086858,0.131783,0.37838,0.966307,-0.960081,-0.628884,,,,,,,,,,
0.105658,0.416346,-0.948972,0.029183,0.709248,-0.06276,-0.086858,0.131783,0.37838,0.966307,-0.960081,-0.628884,,,,,,,,,,
0.131661,0.431728,-0.969114,0.039767,0.701813,-0.084716,-0.086858,0.131783,0.37838,0.966307,-0.969114,-0.628884,,,,,,,,,,
0.105292,0.430629,-0.894647,0.049216,0.69118,-0.106549,-0.086858,0.131783,0.37838,0.966307,-0.969114,-0.628884,,,,,,,,,,
0.078313,0.3243,-0.864982,0.057358,0.672929,-0.134603,-0.086858,0.131783,0.3243,0.966307,-0.969114,-0.628884,,,,,,,,,,
0.103339,0.354209,-0.905024,0.066868,0.652726,-0.168229,-0.054141,0.131783,0.3243,0.966307,-0.969114,-0.628884,,,,,,,,,,
0.10871,0.469938,-0.846182,0.075011,0.63605,-0.19577,-0.010071,0.131783,0.3243,0.913325,-0.969114,-0.651224,,,,,,,,,,
0.135201,0.443081,-0.827992,0.082274,0.619801,-0.220857,0.009339,0.135201,0.3243,0.796741,-0.969114,-0.69505,,,,,,,,,,
0.154245,0.355674,-0.867424,0.087316,0.603119,-0.244821,0.009339,0.154245,0.3243,0.796741,-0.969114,-0.69505,,,,,,,,,,
0.156443,0.284258,-0.912104,0.093133,0.584954,-0.272044,0.009339,0.156443,0.284258,0.796741,-0.969114,-0.69505,,,,,,,,,,
0.190869,0.214185,-0.941525,0.100958,0.566618,-0.301465,0.009339,0.190869,0.214185,0.796741,-0.969114,-0.69505,,,,,,,,,,
0.211622,0.185009,-0.975951,0.111073,0.549063,-0.333065,0.059757,0.211622,0.185009,0.796741,-0.975951,-0.77733,,,,,,,,,,
0.184032,0.218336,-0.961057,0.115968,0.525038,-0.366276,0.059757,0.211622,0.185009,0.638894,-0.975951,-0.779283,,,,,,,,,,
0.175609,0.248001,-0.939694,0.118324,0.510419,-0.388915,0.059757,0.211622,0.185009,0.638894,-0.975951,-0.796496,,,,,,,,,,
0.181713,0.270585,-0.921748,0.123433,0.505408,-0.400189,0.059757,0.211622,0.185009,0.638894,-0.975951,-0.811146,,,,,,,,,,
0.18098,0.381798,-0.874016,0.129494,0.50788,-0.400751,0.060612,0.211622,0.185009,0.638894,-0.975951,-0.811146,,,,,,,,,,
0.172679,0.531343,-0.787218,0.135049,0.512727,-0.394708,0.060612,0.211622,0.185009,0.638894,-0.975951,-0.787218,,,,,,,,,,
0.266313,0.26558,-0.899896,0.145334,0.504346,-0.402942,0.064518,0.266313,0.185009,0.551608,-0.975951,-0.787218,,,,,,,,,,
0.246902,-0.167063,-1.133431,0.154453,0.477532,-0.439895,0.067692,0.266313,-0.167063,0.531343,-1.133431,-0.787218,,,,,,,,,,
0.226515,0.096869,-1.071904,0.159189,0.465849,-0.459299,0.067692,0.266313,-0.167063,0.531343,-1.133431,-0.787218,,,,,,,,,,
0.301471,0.00702,-1.111945,0.170878,0.45897,-0.473772,0.078313,0.301471,-0.167063,0.531343,-1.133431,-0.787218,,,,,,,,,,
0.26912,-0.25557,-1.295794,0.179051,0.433547,-0.516535,0.078313,0.301471,-0.25557,0.531343,-1.295794,-0.787218,,,,,,,,,,
0.248001,-0.399622,-1.352927,0.184868,0.397796,-0.571477,0.078313,0.301471,-0.399622,0.531343,-1.352927,-0.787218,,,,,,,,,,
0.248001,-0.412196,-1.349142,0.192004,0.362791,-0.629207,0.078313,0.301471,-0.412196,0.531343,-1.352927,-0.787218,,,,,,,,,,
0.245437,-0.41659,-1.345968,0.20036,0.334102,-0.681945,0.103339,0.301471,-0.41659,0.531343,-1.352927,-0.787218,,,,,,,,,,
0.199292,-0.407068,-1.304462,0.205158,0.300836,-0.735183,0.10871,0.301471,-0.41659,0.531343,-1.352927,-0.787218,,,,,,,,,,
0.15803,-0.356772,-1.231826,0.207624,0.261967,-0.793335,0.135201,0.301471,-0.41659,0.531343,-1.352927,-0.787218,,,,,,,,,,
