gx,gy,gz,avgx,avgy,avgz,minx,maxx,miny,maxy,minz,maxz,,,,,,,,,,
1.200818,3.280046,0.494842,0.012008,0.044809,0.049757,0,1.200818,0,3.280046,0,0.494842,,,,,,,,,,
1.227553,3.197155,0.449551,0.024284,0.089056,0.0985,0,1.227553,0,3.280046,0,0.494842,,,,,,,,,,
1.267717,3.062504,0.382653,0.036961,0.132358,0.145628,0,1.267717,0,3.280046,0,0.494842,,,,,,,,,,
1.311054,2.918818,0.315388,0.050071,0.174657,0.191081,0,1.311054,0,3.280046,0,0.494842,,,,,,,,,,
1.344625,2.817982,0.266923,0.063518,0.216283,0.235376,0,1.344625,0,3.280046,0,0.494842,,,,,,,,,,
1.397851,2.662333,0.194897,0.077496,0.256885,0.277927,0,1.397851,0,3.280046,0,0.494842,,,,,,,,,,
1.449857,2.50412,0.128365,0.091995,0.296424,0.318751,0,1.449857,0,3.280046,0,0.494842,,,,,,,,,,
1.489043,2.395593,0.083074,0.106885,0.335271,0.358428,0,1.489043,0,3.280046,0,0.494842,,,,,,,,,,
1.530062,2.282915,0.038149,0.122186,0.3734,0.396939,0,1.530062,0,3.280046,0,0.494842,,,,,,,,,,
1.901911,1.24562,-0.302936,0.141205,0.404876,0.425385,0,1.901911,0,3.280046,-0.302936,0.494842,,,,,,,,,,
1.044192,-3.535433,-0.607764,0.151647,0.379963,0.394395,0,1.901911,-3.535433,3.280046,-0.607764,0.494842,,,,,,,,,,
-1.009522,-4.000183,0.283037,0.141552,0.329866,0.347128,-1.009522,1.901911,-4.000183,3.280046,-0.607764,0.494842,,,,,,,,,,
-1.433132,-4.000183,0.491302,0.12722,0.275533,0.297708,-1.433132,1.901911,-4.000183,3.280046,-0.607764,0.494842,,,,,,,,,,
-1.280657,-4.000183,0.156199,0.114414,0.222725,0.246462,-1.433132,1.901911,-4.000183,3.280046,-0.607764,0.494842,,,,,,,,,,
-0.703473,-4.000183,-0.304889,0.107379,0.175688,0.196376,-1.433132,1.901911,-4.000183,3.280046,-0.607764,0.494842,,,,,,,,,,
0.211988,-2.599707,-0.888543,0.109499,0.151811,0.163613,-1.433132,1.901911,-4.000183,3.280046,-0.888543,0.494842,,,,,,,,,,
0.707868,-1.251114,-1.058475,0.116578,0.146379,0.147596,-1.433132,1.901911,-4.000183,3.280046,-1.058475,0.494842,,,,,,,,,,
1.103522,0.123482,-1.20033,0.127613,0.158649,0.147863,-1.433132,1.901911,-4.000183,3.280046,-1.20033,0.494842,,,,,,,,,,
1.371727,1.177867,-1.213026,0.14133,0.184145,0.161229,-1.433132,1.901911,-4.000183,3.280046,-1.213026,0.494842,,,,,,,,,,This is Motion 2 (fast shaking)
1.510895,2.850333,-0.949582,0.156439,0.227757,0.195345,-1.433132,1.901911,-4.000183,3.280046,-1.213026,0.494842,,,,,,,,,,Length 100
1.477324,3.986388,-0.506684,0.171212,0.282394,0.244915,-1.433132,1.901911,-4.000183,3.986388,-1.213026,0.494842,,,,,,,,,,
1.45474,4.000183,-0.429531,0.18576,0.336943,0.295169,-1.433132,1.901911,-4.000183,4.000183,-1.213026,0.494842,,,,,,,,,,
1.126595,4.000183,0.542453,0.197026,0.388211,0.351862,-1.433132,1.901911,-4.000183,4.000183,-1.213026,0.542453,,,,,,,,,,
0.83959,4.000183,1.129647,0.205421,0.436609,0.411556,-1.433132,1.901911,-4.000183,4.000183,-1.213026,1.129647,,,,,,,,,,
0.866081,4.000183,1.077519,0.214082,0.485271,0.470994,-1.433132,1.901911,-4.000183,4.000183,-1.213026,1.129647,,,,,,,,,,
0.971434,4.000183,0.74559,0.223797,0.534987,0.528166,-1.433132,1.901911,-4.000183,4.000183,-1.213026,1.129647,,,,,,,,,,
0.970823,3.290667,0.480803,0.233505,0.577602,0.575589,-1.433132,1.901911,-4.000183,4.000183,-1.213026,1.129647,,,,,,,,,,
0.880608,1.980407,0.212232,0.242311,0.606213,0.606321,-1.433132,1.901911,-4.000183,4.000183,-1.213026,1.129647,,,,,,,,,,
0.647195,-0.369713,-0.694195,0.248783,0.608987,0.602154,-1.433132,1.901911,-4.000183,4.000183,-1.213026,1.129647,,,,,,,,,,
0.427944,-1.98651,-1.305072,0.253062,0.593402,0.573518,-1.433132,1.901911,-4.000183,4.000183,-1.305072,1.129647,,,,,,,,,,
-0.251541,-4.000183,-1.380883,0.250547,0.550884,0.517192,-1.433132,1.901911,-4.000183,4.000183,-1.380883,1.129647,,,,,,,,,,
-1.139657,-4.000183,-1.212659,0.23915,0.499486,0.453667,-1.433132,1.901911,-4.000183,4.000183,-1.380883,1.129647,,,,,,,,,,
-1.537508,-4.000183,-0.8684,0.223775,0.444109,0.389606,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.129647,,,,,,,,,,
-1.426173,-4.000183,-0.52292,0.209514,0.389846,0.330113,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.129647,,,,,,,,,,
-1.05347,-3.761643,-0.154856,0.198979,0.341694,0.280413,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.129647,,,,,,,,,,
-0.578221,-2.691021,-0.208082,0.193197,0.309002,0.24564,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.129647,,,,,,,,,,
-0.172069,-2.081121,-0.382531,0.191476,0.28647,0.219283,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.129647,,,,,,,,,,
0.481292,-0.746689,-0.635476,0.196289,0.283816,0.210274,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.129647,,,,,,,,,,
1.047122,1.10694,-0.514863,0.20676,0.305357,0.226666,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.129647,,,,,,,,,,
1.444485,2.748276,-0.279619,0.221205,0.347284,0.265797,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.129647,,,,,,,,,,
1.643716,3.996765,0.10517,0.237642,0.403689,0.323254,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.129647,,,,,,,,,,
1.451077,4.000183,0.617774,0.252153,0.458202,0.383944,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.129647,,,,,,,,,,
1.170787,4.000183,1.055057,0.263861,0.509911,0.446205,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.129647,,,,,,,,,,
0.949826,4.000183,1.203626,0.273359,0.559412,0.507741,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
0.948849,4.000183,1.187511,0.282847,0.608902,0.569106,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
0.94067,4.000183,1.074223,0.292254,0.65831,0.629257,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
0.917598,3.941586,0.855704,0.30143,0.706902,0.686406,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
0.909052,3.305316,0.666972,0.310521,0.749046,0.735219,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
0.920039,2.031679,0.207471,0.319721,0.778563,0.766811,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
0.942868,1.089971,-0.287798,0.32915,0.798892,0.784262,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
1.026369,-0.194897,-0.839712,0.339413,0.807206,0.784179,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
0.827504,-2.340048,-1.161753,0.347688,0.792081,0.757436,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
-1.059574,-4.000183,-0.704816,0.337093,0.741483,0.699791,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
-1.120002,-4.000183,-0.249466,0.325893,0.690281,0.646094,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
-0.624,-3.905573,-0.11103,0.319653,0.644986,0.599688,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
0.08344,-2.809681,-0.592382,0.320487,0.617723,0.566502,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
0.995361,-1.307392,-0.873894,0.330441,0.614603,0.554643,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
1.522371,0.3337,-0.693951,0.345664,0.633164,0.566264,-1.537508,1.901911,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
1.992492,2.55466,-0.718855,0.365589,0.678635,0.604547,-1.537508,1.992492,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
2.168406,3.996155,-0.517793,0.387273,0.740281,0.661014,-1.537508,2.168406,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
1.695355,4.000183,0.323079,0.404227,0.797236,0.721201,-1.537508,2.168406,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
1.25502,4.000183,1.070927,0.416777,0.849788,0.784462,-1.537508,2.168406,-4.000183,4.000183,-1.380883,1.203626,,,,,,,,,,
1.053958,4.000183,1.42947,0.427317,0.90033,0.849298,-1.537508,2.168406,-4.000183,4.000183,-1.380883,1.42947,,,,,,,,,,
1.10926,4.000183,1.309467,0.438409,0.951424,0.913487,-1.537508,2.168406,-4.000183,4.000183,-1.380883,1.42947,,,,,,,,,,
1.460233,3.193127,0.430141,0.453012,0.997958,0.964322,-1.537508,2.168406,-4.000183,4.000183,-1.380883,1.42947,,,,,,,,,,
1.629555,1.591223,-0.426967,0.469307,1.030165,0.99226,-1.537508,2.168406,-4.000183,4.000183,-1.380883,1.42947,,,,,,,,,,
1.353659,-0.088323,-1.0188,0.482844,1.042819,0.994726,-1.537508,2.168406,-4.000183,4.000183,-1.380883,1.42947,,,,,,,,,,
