gx,gy,gz,avgx,avgy,avgz,minx,maxx,miny,maxy,minz,maxz,,,,,,,,,,
0.0047,0.976195,0.194775,0.006409,0.97976,1.17263,0.002258,0.012147,0.962034,0.987914,0.18391,0.197217,,,,,,,,,,
0.007386,0.96826,0.191357,0.006425,0.979613,1.172425,0.002258,0.012147,0.962034,0.987914,0.18391,0.197217,,,,,,,,,,
0.002747,0.970091,0.190136,0.006352,0.979517,1.172336,0.002258,0.012147,0.962034,0.987914,0.18391,0.197217,,,,,,,,,,
0.006409,0.977782,0.195019,0.006326,0.979648,1.172579,0.002258,0.012147,0.963743,0.987914,0.187084,0.197217,,,,,,,,,,
0.007386,0.966917,0.191967,0.006341,0.97967,1.172609,0.002258,0.012147,0.963743,0.987914,0.187084,0.197217,,,,,,,,,,
0.007752,0.966184,0.192822,0.006324,0.979552,1.172449,0.002258,0.012147,0.963743,0.987914,0.187084,0.197217,,,,,,,,,,
0.006165,0.981566,0.197827,0.006309,0.979561,1.172498,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.006531,0.969358,0.189037,0.00635,0.979519,1.172434,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.006043,0.981078,0.191601,0.006347,0.979658,1.172606,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.007386,0.967894,0.192944,0.00635,0.979614,1.172585,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.004578,0.97473,0.196606,0.006327,0.979563,1.172532,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.004456,0.981566,0.191235,0.006303,0.979631,1.172567,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.006531,0.964597,0.189526,0.006327,0.979574,1.172489,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.007508,0.974608,0.1927,0.006321,0.979618,1.172541,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.004334,0.972288,0.193066,0.006305,0.979537,1.17243,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.006287,0.9718,0.191601,0.006314,0.97949,1.172362,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.00702,0.980101,0.191967,0.006307,0.979561,1.172424,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,This is Motion 1 (sitting still)
0.006287,0.969847,0.195752,0.006299,0.97949,1.17239,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,Length 100
0.007508,0.969847,0.191967,0.006293,0.979471,1.172349,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.009217,0.971922,0.19392,0.006342,0.979529,1.172418,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.006043,0.971922,0.193066,0.006336,0.979528,1.172409,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.00702,0.976073,0.195752,0.006305,0.979595,1.17251,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.003357,0.98059,0.192089,0.006263,0.979668,1.172572,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.005799,0.96826,0.191723,0.006288,0.979628,1.172509,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.007386,0.973387,0.191845,0.006336,0.979655,1.172518,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.004944,0.98181,0.195385,0.006359,0.979758,1.172644,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.003235,0.968748,0.191113,0.006321,0.979635,1.172493,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.007386,0.970823,0.195385,0.006322,0.97962,1.172495,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.011292,0.974486,0.193676,0.00637,0.979664,1.172531,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.006043,0.973753,0.191601,0.006346,0.979675,1.17254,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.003357,0.979613,0.194409,0.006315,0.979734,1.172619,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.010804,0.975951,0.192578,0.006381,0.979833,1.172695,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.00531,0.974974,0.191723,0.006382,0.979904,1.172746,0.002258,0.012147,0.963743,0.987914,0.187084,0.197827,,,,,,,,,,
0.007874,0.970945,0.198926,0.006414,0.979984,1.172945,0.002258,0.012147,0.963743,0.987914,0.188549,0.198926,,,,,,,,,,
0.007874,0.9718,0.192333,0.006431,0.979927,1.172887,0.002258,0.012147,0.963743,0.987914,0.188549,0.198926,,,,,,,,,,
0.007142,0.969114,0.193798,0.00642,0.979897,1.172862,0.002258,0.012147,0.963743,0.987914,0.188549,0.198926,,,,,,,,,,
0.005066,0.969236,0.198437,0.006419,0.979862,1.172856,0.002258,0.012147,0.963743,0.987914,0.188549,0.198926,,,,,,,,,,
0.006409,0.970335,0.196484,0.006387,0.9798,1.172796,0.002258,0.012147,0.963743,0.987914,0.188549,0.198926,,,,,,,,,,
0.006287,0.971678,0.192944,0.006413,0.979811,1.172802,0.002258,0.012147,0.963743,0.987914,0.188549,0.198926,,,,,,,,,,
0.004944,0.976073,0.194775,0.00637,0.979761,1.172764,0.002258,0.012147,0.963743,0.987914,0.188549,0.198926,,,,,,,,,,
0.005921,0.973143,0.194287,0.006325,0.97975,1.172779,0.002258,0.012147,0.963743,0.987914,0.188549,0.198926,,,,,,,,,,
0.004334,0.978392,0.189892,0.006336,0.979777,1.172769,0.002258,0.012147,0.963743,0.987914,0.188549,0.198926,,,,,,,,,,
0.007264,0.967161,0.187572,0.006353,0.97974,1.172722,0.002258,0.012147,0.963743,0.987914,0.187572,0.198926,,,,,,,,,,
0.006287,0.973875,0.195019,0.006348,0.979811,1.172824,0.002258,0.012147,0.963743,0.987914,0.187572,0.198926,,,,,,,,,,
0.004212,0.974242,0.19331,0.006314,0.97975,1.172742,0.002258,0.012147,0.963743,0.987914,0.187572,0.198926,,,,,,,,,,
