gx,gy,gz,avgx,avgy,avgz,minx,maxx,miny,maxy,minz,maxz,,,,,,,,,,,
0.005921,0.968992,0.195508,0.007184,0.98015,1.173235,0.002747,0.012635,0.962766,0.984008,0.187817,0.19624,,,,,,,,,,,
0.005799,0.976073,0.193554,0.007154,0.980278,1.173479,0.002747,0.012635,0.962766,0.984008,0.187817,0.19624,,,,,,,,,,,
0.006531,0.975707,0.197461,0.007252,0.980089,1.173363,0.002747,0.012635,0.962766,0.984008,0.187817,0.197461,,,,,,,,,,,
0.005799,0.974364,0.189526,0.007313,0.980529,1.173674,0.002747,0.012635,0.962766,0.984008,0.187817,0.197461,,,,,,,,,,,
0.005799,0.977293,0.192822,0.0073,0.980181,1.173283,0.002747,0.012635,0.962766,0.978514,0.187817,0.197461,,,,,,,,,,,
0.007386,0.97766,0.190747,0.007117,0.980425,1.173253,0.002747,0.012635,0.962766,0.978514,0.187817,0.197461,,,,,,,,,,,
0.006287,0.973875,0.193676,0.006959,0.980034,1.172893,0.002747,0.012635,0.962766,0.978148,0.187817,0.197461,,,,,,,,,,,
0.007508,0.976073,0.194409,0.006702,0.979894,1.173027,0.002747,0.009827,0.962766,0.978148,0.187817,0.197461,,,,,,,,,,,
0.006409,0.972166,0.193066,0.006556,0.979717,1.172923,0.002747,0.009827,0.962766,0.978148,0.187817,0.197461,,,,,,,,,,,
0.008118,0.980345,0.196118,0.006598,0.980401,1.173821,0.002747,0.009827,0.962766,0.980345,0.187817,0.197461,,,,,,,,,,,
0.006897,0.97241,0.193066,0.006708,0.980223,1.17365,0.002747,0.009827,0.962766,0.980345,0.187817,0.197461,,,,,,,,,,,
0.004212,0.972288,0.19038,0.006782,0.980681,1.174236,0.004212,0.009827,0.962766,0.980345,0.189526,0.197461,,,,,,,,,,,
0.003113,0.97119,0.191601,0.006611,0.980327,1.173808,0.003113,0.009827,0.962766,0.980345,0.189526,0.197461,,,,,,,,,,,
0.007142,0.977049,0.194531,0.006611,0.981041,1.174632,0.003113,0.009827,0.968992,0.980345,0.189526,0.197461,,,,,,,,,,,
0.004334,0.975462,0.198071,0.006336,0.980895,1.174608,0.003113,0.008729,0.968992,0.980345,0.189526,0.198071,,,,,,,,,,,
0.003235,0.978636,0.19331,0.006061,0.981102,1.174803,0.003113,0.008118,0.968992,0.980345,0.189526,0.198071,,,,,,,,,,,
0.009217,0.96594,0.190258,0.006159,0.980706,1.174114,0.003113,0.009217,0.96594,0.980345,0.189526,0.198071,,,,,,,,,,,
0.008484,0.973997,0.1927,0.006263,0.980614,1.174022,0.003113,0.009217,0.96594,0.980345,0.189526,0.198071,,,,,,,,,,,
0.003113,0.969236,0.19624,0.006061,0.980388,1.1739,0.003113,0.009217,0.96594,0.980345,0.189526,0.198071,,,,,,,,,,,
0.004334,0.970335,0.193066,0.005982,0.979936,1.173442,0.003113,0.009217,0.96594,0.980345,0.189526,0.198071,,,,,,,,,,,
0.005799,0.972899,0.19038,0.005976,0.980126,1.173375,0.003113,0.009217,0.96594,0.980345,0.189526,0.198071,,,,,,,,,,,
0.004578,0.968138,0.194287,0.005915,0.979668,1.172954,0.003113,0.009217,0.96594,0.980345,0.189526,0.198071,,,,,,,,,,,
0.008606,0.972044,0.194897,0.006019,0.979588,1.172746,0.003113,0.009217,0.96594,0.980345,0.189526,0.198071,,,,,,,,,,,
0.007386,0.970579,0.191601,0.006098,0.979479,1.17274,0.003113,0.009217,0.96594,0.980345,0.190258,0.198071,,,,,,,,,,,
0.010438,0.972166,0.192211,0.00633,0.979454,1.172685,0.003113,0.010438,0.96594,0.980345,0.190258,0.198071,,,,,,,,,,,
0.003113,0.971434,0.190624,0.006116,0.978929,1.172154,0.003113,0.010438,0.96594,0.980345,0.190258,0.198071,,,,,,,,,,,
0.005432,0.973997,0.192211,0.006073,0.978893,1.172044,0.003113,0.010438,0.96594,0.980345,0.190258,0.198071,,,,,,,,,,,
0.005432,0.971678,0.194165,0.00597,0.978569,1.171708,0.003113,0.010438,0.96594,0.980345,0.190258,0.198071,,,,,,,,,,,
0.005188,0.978514,0.194897,0.005909,0.978825,1.172056,0.003113,0.010438,0.96594,0.980345,0.190258,0.198071,,,,,,,,,,,
0.004944,0.977416,0.192211,0.00575,0.97852,1.171556,0.003113,0.010438,0.96594,0.978636,0.190258,0.198071,,,,,,,,,,,
0.008362,0.97412,0.195141,0.005823,0.978679,1.171818,0.003113,0.010438,0.96594,0.978636,0.190258,0.198071,,,,,,,,,,,
0.005432,0.970579,0.192578,0.005884,0.978655,1.171904,0.003113,0.010438,0.96594,0.978636,0.190258,0.198071,,,,,,,,,,,
0.006165,0.974486,0.195141,0.006037,0.978972,1.172398,0.003113,0.010438,0.96594,0.978636,0.190258,0.198071,,,,,,,,,,,
0.003845,0.978392,0.195141,0.005872,0.978874,1.172331,0.003113,0.010438,0.96594,0.978636,0.190258,0.198071,,,,,,,,,,,
0.00531,0.967894,0.194043,0.005921,0.978545,1.1718,0.003113,0.010438,0.96594,0.978636,0.190258,0.19624,,,,,,,,,,,
0.007996,0.975829,0.192333,0.006159,0.978642,1.171849,0.003113,0.010438,0.96594,0.978514,0.190258,0.19624,,,,,,,,,,,
0.004944,0.978514,0.192089,0.005945,0.979057,1.172355,0.003113,0.010438,0.967894,0.978514,0.19038,0.19624,,,,,,,,,,,
0.002258,0.975951,0.192211,0.005634,0.978844,1.172117,0.002258,0.010438,0.967894,0.978514,0.19038,0.19624,,,,,,,,,,,
0.008729,0.968504,0.192211,0.005915,0.979088,1.17216,0.002258,0.010438,0.967894,0.978514,0.19038,0.195141,,,,,,,,,,,
