gx,gy,gz,avgx,avgy,avgz,minx,maxx,miny,maxy,minz,maxz,,,,,,,,,,
-0.015565,1.164073,-0.375938,-0.000156,0.011485,0.007726,-0.015565,0,0,1.164073,-0.375938,0,,,,,,,,,,
-0.019716,1.17335,-0.383996,-0.000353,0.023021,0.015422,-0.019716,0,0,1.17335,-0.383996,0,,,,,,,,,,
-0.024599,1.177623,-0.393274,-0.000599,0.034552,0.02302,-0.024599,0,0,1.177623,-0.393274,0,,,,,,,,,,
-0.024477,1.180187,-0.394128,-0.000844,0.046109,0.030635,-0.024599,0,0,1.180187,-0.394128,0,,,,,,,,,,
-0.02643,1.176891,-0.396203,-0.001108,0.057613,0.038178,-0.02643,0,0,1.180187,-0.396203,0,,,,,,,,,,
-0.027773,1.172252,-0.395837,-0.001386,0.069058,0.045664,-0.027773,0,0,1.180187,-0.396203,0,,,,,,,,,,
-0.027773,1.170543,-0.394738,-0.001663,0.080486,0.053145,-0.027773,0,0,1.180187,-0.396203,0,,,,,,,,,,
-0.038516,1.151132,-0.399255,-0.002048,0.091612,0.060278,-0.038516,0,0,1.180187,-0.399255,0,,,,,,,,,,
-0.038271,1.139535,-0.410609,-0.002431,0.102625,0.067185,-0.038516,0,0,1.180187,-0.410609,0,,,,,,,,,,
-0.037661,1.135018,-0.413416,-0.002808,0.113598,0.074024,-0.038516,0,0,1.180187,-0.413416,0,,,,,,,,,,
-0.033632,1.168956,-0.40304,-0.003144,0.124951,0.081347,-0.038516,0,0,1.180187,-0.413416,0,,,,,,,,,,
-0.016419,1.280901,-0.364829,-0.003308,0.137596,0.090344,-0.038516,0,0,1.280901,-0.413416,0,,,,,,,,,,
-0.009095,1.336324,-0.363242,-0.003399,0.150869,0.099984,-0.038516,0,0,1.336324,-0.413416,0,,,,,,,,,,
-0.007142,1.347677,-0.364097,-0.003471,0.164274,0.109748,-0.038516,0,0,1.347677,-0.413416,0,,,,,,,,,,
0.094183,1.411524,-0.419642,-0.002529,0.179331,0.120609,-0.038516,0.094183,0,1.411524,-0.419642,0,,,,,,,,,,
0.136788,1.356833,-0.506317,-0.001161,0.194267,0.130482,-0.038516,0.136788,0,1.411524,-0.506317,0,,,,,,,,,,
0.179393,1.273698,-0.548434,0.000633,0.208798,0.139528,-0.038516,0.179393,0,1.411524,-0.548434,0,,,,,,,,,,
0.257889,1.101569,-0.629372,0.003212,0.222393,0.146829,-0.038516,0.257889,0,1.411524,-0.629372,0,,,,,,,,,,This is Motion 3 (Slow Pointing from left to right)
0.268876,1.082036,-0.631813,0.005901,0.235902,0.15402,-0.038516,0.268876,0,1.411524,-0.631813,0,,,,,,,,,,Length 100
0.270097,1.08228,-0.593847,0.008602,0.249426,0.161605,-0.038516,0.270097,0,1.411524,-0.631813,0,,,,,,,,,,
0.284258,0.815663,-0.665873,0.011444,0.260425,0.165946,-0.038516,0.284258,0,1.411524,-0.665873,0,,,,,,,,,,
0.309284,0.61045,-0.791003,0.014537,0.269622,0.167233,-0.038516,0.309284,0,1.411524,-0.791003,0,,,,,,,,,,
0.30025,0.538668,-0.790759,0.017539,0.278011,0.167715,-0.038516,0.309284,0,1.411524,-0.791003,0,,,,,,,,,,
0.250443,0.627785,-0.699689,0.020044,0.286794,0.1695,-0.038516,0.309284,0,1.411524,-0.791003,0,,,,,,,,,,
0.197339,0.654398,-0.691876,0.022017,0.295311,0.171099,-0.038516,0.309284,0,1.411524,-0.791003,0,,,,,,,,,,
0.219191,0.458097,-0.825185,0.024209,0.302084,0.16962,-0.038516,0.309284,0,1.411524,-0.825185,0,,,,,,,,,,
0.227004,0.197949,-0.980345,0.026479,0.306333,0.164066,-0.038516,0.309284,0,1.411524,-0.980345,0,,,,,,,,,,
0.248001,0.071843,-1.029787,0.028959,0.309532,0.156966,-0.038516,0.309284,0,1.411524,-1.029787,0,,,,,,,,,,
0.242996,0.03876,-1.02173,0.031389,0.312349,0.149567,-0.038516,0.309284,0,1.411524,-1.029787,0,,,,,,,,,,
0.209058,0.073186,-1.013429,0.03348,0.315172,0.142255,-0.038516,0.309284,0,1.411524,-1.029787,0,,,,,,,,,,
0.188305,0.11457,-0.983519,0.035363,0.318201,0.135448,-0.038516,0.309284,0,1.411524,-1.029787,0,,,,,,,,,,
0.178661,0.157908,-0.957151,0.037149,0.321566,0.129243,-0.038516,0.309284,0,1.411524,-1.029787,0,,,,,,,,,,
0.17976,0.086492,-1.014527,0.038947,0.324229,0.12176,-0.038516,0.309284,0,1.411524,-1.029787,0,,,,,,,,,,
0.178905,-0.021181,-1.061405,0.040736,0.325806,0.112723,-0.038516,0.309284,-0.021181,1.411524,-1.061405,0,,,,,,,,,,
0.170359,-0.044253,-1.061527,0.04244,0.327067,0.103369,-0.038516,0.309284,-0.044253,1.411524,-1.061527,0,,,,,,,,,,
0.106513,-0.124336,-0.929317,0.043505,0.326889,0.093897,-0.038516,0.309284,-0.124336,1.411524,-1.061527,0,,,,,,,,,,
0.087347,0.006775,-0.853018,0.044378,0.32783,0.086308,-0.038516,0.309284,-0.124336,1.411524,-1.061527,0,,,,,,,,,,
0.118232,0.109809,-0.948483,0.045561,0.33011,0.079104,-0.038516,0.309284,-0.124336,1.411524,-1.061527,0,,,,,,,,,,
0.148874,-0.007386,-1.100714,0.047049,0.331525,0.069512,-0.038516,0.309284,-0.124336,1.411524,-1.100714,0,,,,,,,,,,
0.148508,-0.08344,-1.116462,0.048534,0.332176,0.058998,-0.038516,0.309284,-0.124336,1.411524,-1.116462,0,,,,,,,,,,
0.109931,-0.113838,-1.033205,0.049634,0.332137,0.048627,-0.038516,0.309284,-0.124336,1.411524,-1.116462,0,,,,,,,,,,
0.099554,0.044131,-0.923213,0.050629,0.333574,0.040831,-0.038516,0.309284,-0.124336,1.411524,-1.116462,0,,,,,,,,,,
0.140817,0.136666,-0.928829,0.052037,0.336349,0.034318,-0.038516,0.309284,-0.124336,1.411524,-1.116462,0,,,,,,,,,,
