      27,   0.020082,   0.983275,   0.197217
      43,   0.020204,   0.988891,   0.198560
      58,   0.019349,   0.982665,   0.199292
      75,   0.021669,   0.987060,   0.202344
      90,   0.019227,   0.992553,   0.198315
     105,   0.017274,   0.987914,   0.196484
     121,   0.017640,   0.990356,   0.198193
     137,   0.018983,   0.985473,   0.193188
     152,   0.017518,   0.989013,   0.200146
     168,   0.019349,   0.983397,   0.197461
     184,   0.019105,   0.987670,   0.193676
     199,   0.018983,   0.986571,   0.195141
     215,   0.020326,   0.988891,   0.198071
     230,   0.019960,   0.985595,   0.195752
     246,   0.020326,   0.985351,   0.199292
     262,   0.022523,   0.984740,   0.199902
     277,   0.021425,   0.987060,   0.199414
     293,   0.020204,   0.988647,   0.198560
     308,   0.020326,   0.989745,   0.201123
     324,   0.021547,   0.986694,   0.199414
     340,   0.021791,   0.985717,   0.195263
     355,   0.018983,   0.983031,   0.198926
     371,   0.018006,   0.989257,   0.193798
     387,   0.018861,   0.989013,   0.196484
     402,   0.017518,   0.981810,   0.199780
     418,   0.015687,   0.987914,   0.200024
     434,   0.017762,   0.987548,   0.194409
     449,   0.020814,   0.984008,   0.196728
     465,   0.021913,   0.982543,   0.197339
     480,   0.019349,   0.987182,   0.196362
     496,   0.021181,   0.991088,   0.194897
     512,   0.019716,   0.983642,   0.198315
     527,   0.018373,   0.981566,   0.201733
     543,   0.017518,   0.985717,   0.195630
     559,   0.019349,   0.986694,   0.194287
     574,   0.018617,   0.988158,   0.202100
     590,   0.022035,   0.988891,   0.197461
     606,   0.020814,   0.986571,   0.197095
     621,   0.021913,   0.987914,   0.196240
     637,   0.020936,   0.984008,   0.197583
     652,   0.019349,   0.987548,   0.201123
     668,   0.020692,   0.989135,   0.197461
     684,   0.021181,   0.989501,   0.197827
     699,   0.021669,   0.987548,   0.198682
     715,   0.021791,   0.986816,   0.198682
     731,   0.017518,   0.986816,   0.198315
     746,   0.019227,   0.986083,   0.195385
     762,   0.023256,   0.985595,   0.199902
     777,   0.024599,   0.988891,   0.198560
     793,   0.020936,   0.992431,   0.197827
     809,   0.019471,   0.988403,   0.197583
     824,   0.018861,   0.987426,   0.200024
     840,   0.020936,   0.990356,   0.201001
     855,   0.020326,   0.987548,   0.198071
     871,   0.019471,   0.985839,   0.195141
     887,   0.019471,   0.984740,   0.195630
     902,   0.020326,   0.990234,   0.198437
     918,   0.019960,   0.991210,   0.198437
     934,   0.019838,   0.988036,   0.196606
     949,   0.019593,   0.983642,   0.195752
     965,   0.018129,   0.989379,   0.199658
